23051	03	11	19	29	33	03	12	859,364,126	21	6,007,213	1228	20,000	349,432,627	2023-05-08
23050	08	09	14	25	29	04	06	1,005,750,816	5	10,000,000	124	111,057	375,710,449	2023-05-06
23049	03	17	22	26	28	07	12	997,411,126	4	10,000,000	99	113,704	331,270,234	2023-05-03
23048	07	13	16	25	32	09	11	994,472,934	2	10,000,000	68	228,710	313,990,124	2023-05-01
23047	10	12	13	24	25	11	12	952,628,083	6	10,000,000	95	174,412	362,544,707	2023-04-29
23046	13	21	25	28	32	02	10	948,200,742	0	0	43	414,384	352,135,852	2023-04-26
23045	07	10	13	28	31	04	05	855,642,317	6	10,000,000	170	68,608	346,712,734	2023-04-24
23044	02	06	07	08	15	07	10	868,495,061	5	10,000,000	140	98,608	378,830,462	2023-04-22
23043	02	04	17	20	27	01	08	853,496,452	4	10,000,000	126	129,148	356,711,435	2023-04-19
23042	02	16	21	23	27	01	08	828,299,304	4	8,825,763	90	177,996	362,398,489	2023-04-17
23041	05	08	13	26	35	05	09	794,168,912	10	9,113,936	167	88,299	389,220,667	2023-04-15
23040	04	05	18	22	30	05	12	827,601,740	10	8,838,815	101	163,388	369,110,639	2023-04-12
23039	02	24	26	30	34	06	07	869,785,637	2	10,000,000	74	231,241	368,190,696	2023-04-10
23038	04	10	18	27	32	10	12	806,289,674	2	10,000,000	158	87,329	311,720,942	2023-04-08
23037	06	08	16	20	24	07	08	768,030,436	5	7,815,329	136	90,445	284,657,775	2023-04-05
23036	01	13	22	26	31	02	10	752,208,151	10	5,516,938	503	20,000	285,032,829	2023-04-03
23035	07	14	23	25	29	02	11	790,017,645	6	9,979,848	238	47,702	310,558,399	2023-04-01
23034	07	09	10	15	24	04	12	803,285,353	5	7,780,731	110	108,314	287,732,716	2023-03-29
23033	04	06	10	11	25	07	09	787,964,750	4	7,900,471	94	128,909	289,373,837	2023-03-27
23032	05	06	18	28	30	02	07	771,590,190	17	6,288,243	133	73,933	308,131,139	2023-03-25
23031	05	07	08	16	25	03	11	861,440,447	6	9,483,426	146	84,608	287,302,404	2023-03-22
23030	06	11	12	20	35	05	12	880,358,984	5	10,000,000	82	166,908	291,586,529	2023-03-20
23029	07	25	27	34	35	09	11	873,738,106	0	0	79	179,115	309,186,270	2023-03-18
23028	01	03	29	30	34	04	12	807,820,511	0	0	52	299,559	293,553,586	2023-03-15
23027	09	10	12	15	23	03	06	734,749,841	5	6,766,822	125	75,900	288,212,889	2023-03-13
23026	02	13	24	27	30	01	06	733,932,865	1	10,000,000	90	199,360	316,826,904	2023-03-11
23025	03	09	27	30	31	11	12	667,313,213	6	6,917,554	105	136,852	298,831,206	2023-03-08
23024	11	15	24	27	30	01	10	662,152,862	5	7,924,611	111	135,800	299,898,051	2023-03-06
23023	09	21	23	25	33	03	10	641,960,896	13	6,369,271	47	362,879	327,693,006	2023-03-04
23022	07	11	15	26	28	08	10	656,985,939	5	7,161,286	224	54,181	304,855,393	2023-03-01
23021	02	09	18	23	27	03	05	648,618,913	5	6,737,925	264	38,095	304,448,024	2023-02-27
23020	05	06	23	25	28	06	09	648,355,013	13	5,492,927	272	25,125	323,977,748	2023-02-25
23019	05	08	09	11	15	06	08	706,197,257	10	5,948,278	131	73,156	298,433,689	2023-02-22
23018	04	08	17	26	30	03	11	732,297,154	3	8,442,888	152	87,105	297,501,654	2023-02-20
23017	02	05	09	22	27	10	11	709,369,027	30	5,817,626	101	143,902	325,814,136	2023-02-18
23016	02	04	12	31	32	07	11	929,208,065	11	6,710,087	85	134,111	294,344,609	2023-02-15
23015	08	16	24	25	34	08	12	1,006,012,729	6	8,742,063	70	194,129	286,304,176	2023-02-13
23014	03	08	18	22	24	01	09	1,037,380,726	5	10,000,000	156	85,206	308,698,349	2023-02-11
23013	01	02	09	23	25	02	06	1,040,036,602	5	10,000,000	89	163,041	290,272,193	2023-02-08
23012	07	16	17	18	28	02	03	1,048,716,294	17	6,215,753	136	77,035	274,786,290	2023-02-06
23011	02	07	08	17	25	01	03	1,156,695,739	4	10,000,000	155	79,540	297,936,990	2023-02-04
23010	05	06	13	23	26	01	06	1,144,740,863	7	8,119,275	377	20,484	272,385,898	2023-02-01
23009	01	05	11	15	33	01	10	1,167,513,305	3	10,000,000	89	167,200	288,306,205	2023-01-30
23008	04	09	17	22	25	01	05	1,153,640,353	11	6,668,897	243	37,136	322,639,161	2023-01-18
23007	02	03	24	30	32	01	06	1,214,621,617	2	10,000,000	48	338,929	270,298,202	2023-01-16
23006	02	04	12	27	35	06	07	1,166,367,355	2	10,000,000	123	93,427	286,730,809	2023-01-14
23005	01	03	10	20	29	06	11	1,150,759,496	5	10,000,000	113	83,679	271,728,892	2023-01-11
23004	04	13	15	20	22	04	08	1,157,028,436	3	10,000,000	106	100,245	258,433,073	2023-01-09
23003	05	06	14	21	22	02	09	1,140,824,558	6	10,000,000	96	131,395	281,549,083	2023-01-07
23002	11	14	21	26	27	02	07	1,153,840,957	3	10,000,000	48	282,518	255,061,637	2023-01-04
23001	18	19	24	27	34	11	12	1,124,542,797	0	0	64	191,196	244,595,607	2023-01-02
22150	06	07	26	29	30	03	12	1,071,397,016	4	10,000,000	117	105,068	267,131,944	2022-12-31
